case_no,code_token
1,"import java.io.*;
import java.util.*;

public class test{
	public static void main(String[] args) throws IOException{
		BufferedReader r = new BufferedReader(new InputStreamReader(System.in));
		String s;
		while(true){
			s = r.readLine();
			int a;
			a = Integer.parseInt(s);
			if (a==0) {
				break;
			}
			System.out.println(a);
		}
	}
}"
2,"import java.util.Scanner;
public class Main{
    public static void main(String[] args){
        Scanner sc = new Scanner(System.in);
        int a = sc.nextInt();
        int b = sc.nextInt();
        int area = a*b;
        int length =2*a+2*b;
        System.out.println(area+"" ""+length);
    }
}"
3,"import java.util.Scanner;


public class Main {
	public static void main(String[] args) {
		Scanner scn = new Scanner(System.in);
		String w = scn.next().toLowerCase();
		String reading = scn.next();
		int cnt = 0;
		while(!reading.equals(""END_OF_TEXT"")){
			//System.out.println(w + ""と"" + reading);
			if(reading.toLowerCase().equals(w)) cnt++;
			reading = scn.next();
		}
		System.out.println(cnt);
	}
}"
4,"import java.util.Scanner;

public class Main {
	public static void main(String[] args){
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		
		for(int i = 1;i <= n;i++){
			long x = i;
			if(x % 3 == 0){
				System.out.print("" ""+i);
				continue;
			}
			
			if(x % 10 == 3){
				System.out.print("" ""+i);
				continue;
			}
			
			for(x /= 10;x != 0;x /= 10){
				if(x % 10 == 3){
					System.out.print("" ""+i);
					break;
				}
			}
		}
		System.out.println();
	}
}"
5,"import java.util.*;
public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n=sc.nextInt();
		int[] a1=new int[n];
		int[] a2=new int[n];
		int[] s1=new int[n];
		int[] s2=new int[n];
	    int ans=0;
		
		for(int i=0;i<n;i++){
          a1[i]=sc.nextInt();
        }
		for(int i=0;i<n;i++){
          a2[i]=sc.nextInt();
        }
		
		s1[0]=a1[0]; 
      	s2[n-1]=a2[n-1];
		for(int i=1;i<n;i++){
          s1[i]=s1[i-1]+a1[i];
        }
		for(int i=n-2;i>=0;i--){
          s2[i]=s2[i+1]+a2[i];
        }
		
		for(int i=0;i<n;i++){
          score=Math.max(score, s1[i]+s2[i]);
        }
		
		System.out.println(ans);
	}
}"
6,"import java.util.Scanner;

public class Main {

    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        String s = sc.next();
        char tmp;
        String ans = """";
        for (int i = 0; s.length() > i; i++) {
            if (i % 2 == 0) {
                tmp = s.charAt(i);
                ans += String.valueOf(tmp);
            }
        }
        System.out.println(ans);
    }
}
"
