case_no,code_token
1,"import java.util.Arrays;
import java.util.Scanner;

public class Main {

	public static void main(String[] args) {
		new Main().solve();
	}
	
	void solve(){
		Scanner sc=new Scanner(System.in);
		int n=sc.nextInt();
		int m=sc.nextInt();
		int[] x=new int[m];
		int[] y=new int[m];
		int[] BallCount=new int[n+1];
		boolean[] poss=new boolean[n+1];
		
		for(int i=0;i<m;i++){
			x[i]=sc.nextInt();
			y[i]=sc.nextInt();
		}
		Arrays.fill(poss, false);
		poss[1]=true;
		Arrays.fill(BallCount, 1);
		for(int i=0;i<m;i++){
			
			if(poss[x[i]])poss[y[i]]=true;
			
			BallCount[x[i]]-=1;
			BallCount[y[i]]+=1;
			
			if(BallCount[x[i]]==0)poss[x[i]]=false;
			
		}
		int BallBox=0;
		for(int i=1;i<=n;i++){
			if(poss[i])BallBox++;
		}
		System.out.println(BallBox);
		
	}

}
"
2,"#include <bits/stdc++.h>
 
using namespace std;
 
typedef long long ll;
typedef long double ld;
typedef pair < int , pair < int , int > > mp;

#define rep(i , j , n) for(long long i = j ; i <= n ; i++)
#define per(i , j , n) for(long long i = j ; i >= n ; i--)
 
const ll N = 123456;
const ll mod = 1e9 + 7;
const ld eps = 1e-6;
const ld pi = 3.1415926535;

int a[N];
int vis[N];
int main() {
    ios_base::sync_with_stdio(false);
    cin.tie(NULL);
 
    cout << fixed << setprecision(12);

    int n;

    int k;

    cin >> n >> k;

    string s;
    cin >> s;

    rep(i , 1 , n) {
      if(s[i - 1] == 'L') {
        a[i] = 1;
      }
      else {
        a[i] = -1;
      }
    }

    // rep(i , 1 , n) {
    //   a[i] += a[i - 1];
    // }

    // rep(i , 1 , n) {
    //   cout << a[i] << "" "";
    // }

    // cout << endl;

    int sum = 0;

    int cur = 1;
    if(n == 1) {
      cout << 0 << endl;
      return 0;
    }

    vector < int > res;

    // rep(i , 1 , n) {
    //     cout << a[i] << endl;
    // }
    rep(i , 2 , n) {
        if(a[i] == a[i - 1]) {
            //cout << a[i - 1] << "" "" << a[i] << endl;
            cur++;
        }
        else {
            res.push_back(cur);
            cur = 1;
        }
    }

    res.push_back(cur);

    for(auto j : res) {
        sum += j - 1;
    }

    while(k--) {
        sum += 2;
    }
    cout << min(sum , n - 1) << endl;
    return 0;

}
"
3,"import java.io.*;
public class Main{
	public static void main(String[] args){
		
InputStreamReader is = new InputStreamReader(System.in);

        BufferedReader br = new BufferedReader(is);

        String str = br.readLine();
		
		int x = Integer.parseInt(str);
		
		System.out.println(x*x*x);
	}
}"
4,"
import java.util.Scanner;
import java.util.stream.LongStream;

public class Main {
    static int n;
    static int W;
    static long[][] dp;

    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        n = sc.nextInt();
        W = sc.nextInt();
        dp = new long[n + 1][1000 * n + 1];
        for (int i = 0; i < n+1; i++) {
            for (int j = 1; j < dp[i].length; j++) {
                dp[i][j] = Integer.MAX_VALUE * 10L;
            }
        }
        for (int i = 0; i < n; i++) {
            int w = sc.nextInt();
            int v = sc.nextInt();
            dp[i + 1][v] = Math.min(w, dp[i][v]);
            for (int j = 0; j < v; j++) {
                dp[i + 1][j] = dp[i][j];
            }
            for (int j = v; j < dp[0].length; j++) {
                dp[i + 1][j] = Math.min(dp[i][j], dp[i][j - v] + w);
            }


        }
        int max = 0;
        for (int i = 0; i < dp[n].length; i++) {
            if (dp[n][i] <= W) max = i;
        }
        System.out.println(max);
    }

}
"
5,"import java.util.Scanner;
 
 static int calc(int num) {
  if (400 =< num =< 599) {
    System.out.println(8);
  } else if (600 =< num =< 799) {
    System.out.println(7);
  } else if (800 =< num =< 999) {
    System.out.println(6);
  } else if (1000 =< num =< 1199) {
    System.out.println(5);
  } else if (1200 =< num =< 1399) {
    System.out.println(4);
  } else if (1400 =< num =< 1599) {
    System.out.println(3);
  } else if (1600 =< num =< 1799) {
    System.out.println(2);
  } else if (1800 =< num =< 1999) {
    System.out.println(1);
  }
  public static void main (String[] args) {
    Scanner stdIn = new Scanner(System.in);
    int num stdIn.nextInt();
    
    calc(num);
  }
}"
6,"
import java.util.Scanner;

public class Main {

	public static void main(String[] args) {
		new Main().run();
	}

	private void run() {
		Scanner scanner = new Scanner(System.in);
		int n = scanner.nextInt();
		int[] num = new int[n];
		int s = 0;
		for (int i = 0; i < n; i++) {
			num[i] = scanner.nextInt();
			s += num[i];
		}
		boolean[] map = new boolean[s + 1];

		slove(0, 0, num, map);
		int m = scanner.nextInt();
		while (m-- > 0) {
			int a = scanner.nextInt();
			System.out.println(a <= s && map[a] ? ""yes"" : ""no"");
		}

	}

	private void slove(int i, int sum, int[] num, boolean[] map) {
		map[sum] = true;
		if (i == num.length)
			return;

		slove(i + 1, sum + num[i], num, map);
		slove(i + 1, sum, num, map);
	}
}"
7,"import java.util.Scanner;
public class Main{
  public static void main(String[] args){
	Scanner sc = new Scanner(System.in);
    int K = Integer.parseInt(sc.next());
    int S = Integer.parseInt(sc.next());
    int count = 0;
    int z = 0;
    
    //K以下の自然数X,Y,Zの合計がSとなる組み合わせは何通りあるか
    for(int x = 0; x <=K; x++){
      for(int y = 0; y <=K; y++){
        z = S - x - y;
       if(z >= 0 && z <= K) count++;
      }
    }   
    System.out.println(count);      
  }
}"
8,"import java.util.Scanner;
public class Main{
    public static void main(String[]args){
	Scanner sc=new Scanner(System.in);

	int a=sc.nextInt();
	int b=sc.nextInt();
	if(a<b){
	    System.out.println(""a<b"");
	}
	if(a>b){
	    System.out.println(""a>b"");
	}
	if (a==b){
    System.out.println(""a==b"");
	}



}"
9,"import java.util.Scanner;
public class Test {
	public static void main(String[] args){
		Scanner sc = new Scanner(System.in);

		String a = sc.next();

		String b = sc.next();
		String c= a+b;
    double d =	Integer.parseInt(c);
		double e = Math.floor(Math.sqrt(d));
		if (d-(e*e)==0){
			System.out.println(""Yes"");
		}else{
			System.out.println(""No"");
		}
	}
}
"
10,"import java.util.Scanner;
public class Main {
	public static void main(String[] args){
		Scanner as = new Scanner(System.in);
		String a = as.next();
		boolean b = true;
		try{
		for(int i=0;i<a.length();i++){
			if(b){
				if(String.valueOf(a.charAt(i)).equals(""d"")){
					i++;
					if(String.valueOf(a.charAt(i)).equals(""r"")){
						i++;
						if(String.valueOf(a.charAt(i)).equals(""e"")){
							i++;
							if(String.valueOf(a.charAt(i)).equals(""a"")){
								i++;
								if(String.valueOf(a.charAt(i)).equals(""m"")){
									if(i+1<a.length()&&String.valueOf(a.charAt(i+1)).equals(""e"")
											&&String.valueOf(a.charAt(i+2)).equals(""r"")){
										if(i+3<a.length()&&(String.valueOf(a.charAt(i+3)).equals(""d"")
												||String.valueOf(a.charAt(i+3)).equals(""e""))){
											i+=2;
										}else if(i+3<a.length()&&String.valueOf(a.charAt(i+3)).equals(""a"")){
											
										}else if(i+3>=a.length()){
											i+=3;
										}
									}else if(i+1>=a.length()){
										
									}
								}else{
									b = false;
								}
							}else{
								b = false;
							}
						}else{
							b = false;
						}
					}else{
						b = false;
					}
				}else if(String.valueOf(a.charAt(i)).equals(""e"")){
					i++;
					if(String.valueOf(a.charAt(i)).equals(""r"")){
						i++;
						if(String.valueOf(a.charAt(i)).equals(""a"")){
							i++;
							if(String.valueOf(a.charAt(i)).equals(""s"")){
								i++;
								if(String.valueOf(a.charAt(i)).equals(""e"")){
									if(i+1<a.length()&&String.valueOf(a.charAt(i+1)).equals(""r"")){
										i++;
									}else if(i+1>=a.length()){
										
									}
								}else{
									b = false;
								}
							}else{
								b = false;
							}
						}else{
							b = false;
						}
					}else{
						b = false;
					}
				}else{
					b = false;
				}
			}else{
				break;
			}
		}
		}catch(Exception e){
			b = false;
		}
		if(b){
			System.out.println(""YES"");
		}else{
			System.out.println(""NO"");
		}
	}
}"
11,"
import java.util.Scanner;

public class Main {
	static Scanner sc = new Scanner(System.in);

	//３文字目以降の探索
	//引数のnはターゲットの看板のどこを探索しているか
	//引数のpadは隙間
	static boolean paddingcheck(String tar,String str,int n,int pad){
		boolean f=false;
		for(int i=2;i<tar.length();i++){
			if(n+i*pad>=str.length()){f=false;break;}//
			if(tar.charAt(i)==str.charAt(n+i*pad))f = true;
			else {
				f = false;
				break;
			}
		}

		return f;
	}
	//２つの引数の文字列で看板が作れるかどうか判定するクラスメソッド
	static boolean search(String tar , String str){
		boolean f = false;
		for(int j=0;j<str.length();j++){
			if(tar.equals(str))return true;
			if(tar.charAt(0)==str.charAt(j)){
				int cnt=0;
				for(int i=j+1;i<str.length();i++){
					cnt++;
					if(str.length()<j+cnt)continue;
					if(tar.charAt(1)==str.charAt(i)){
						if((j+tar.length()-1*cnt)>str.length())break;//
						f = paddingcheck(tar,str,j,cnt);
						if(f==true) return f;
					}
				}
			}
		}		
		return f;
	}
	
	void doIt(){//クラス変数scに対しての操作を決めるメソッド
		int n = sc.nextInt();
		int ans = 0;
		String tar = sc.next();
		for(int i=0;i<n;++i){
			String s = sc.next();
			if(search(tar,s))ans++;
		}
		System.out.println(ans);
	}

	public static void main(String[] args) {
		new Main().doIt();
	}

}"
